"IDIngredienteReceta";"IDReceta";"IDIngrediente";"Cantidad";"IDUnidad";"Observación"
1813;226;38;100,00;3;
1814;226;11;100,00;3;"A temp. Ambiente"
1815;226;286;0,50;1;
1816;226;9;225,00;3;
1817;226;48;0,50;1;
1818;226;67;1,00;5;
1819;226;43;0,50;1;
1820;226;11;1,00;8;"Para las placas"
1821;226;7;1,00;8;"Para espolvorear"
1822;227;53;125,00;3;
1823;227;190;125,00;3;"Rallado"
1824;227;91;125,00;3;
1825;227;14;2,00;7;
1826;227;91;1,00;8;"Para espolvorear"
1827;227;287;1,00;8;"Rallado, para cubrir"
1828;228;322;3,00;6;"Molidas"
1829;228;88;0,50;12;"Bien concentrado"
1830;228;11;100,00;3;"Derretida a temp. Ambiente"
1831;228;104;750,00;3;
1833;228;323;200,00;3;
1834;229;324;200,00;3;"Tipo cuartirolo"
1835;229;199;100,00;3;"Peladas"
1836;229;128;50,00;9;"O Ron"
1838;230;325;1,00;4;"En filetes"
1839;230;28;3,00;2;"Exprimido"
1840;230;7;0,50;6;"Para rebozar"
1841;230;4;4,00;2;
1842;230;25;2,00;10;
1843;230;28;1,00;7;
1844;230;22;1,00;2;
1845;230;54;250,00;3;
1846;230;14;1,00;7;"Batida"
1847;230;1;1,00;11;
1848;230;109;1,00;11;
1850;230;326;2,00;2;"Seco"
1851;230;70;1,00;7;"Exprimida"
1852;230;71;1,00;2;
1853;231;306;8,00;20;
1854;231;70;1,00;7;"En cubitos"
1855;231;249;100,00;3;
1856;231;282;100,00;3;"En un trozo"
1857;231;123;2,00;2;
1858;231;53;12,00;7;"Tostadas y peladas"
1859;231;167;12,00;7;
1860;231;4;3,00;2;
1861;231;54;6,00;2;
1862;231;35;6,00;2;
1863;231;117;1,00;1;
1864;231;1;1,00;11;
1865;231;109;1,00;11;
1867;232;327;600,00;3;"En 2 filetes, con piel"
1868;232;1;6,00;2;
1869;232;18;6,00;2;
1870;232;260;6,00;2;"Finamente picado"
1871;232;2;1,00;2;
1872;232;110;2,00;7;"Cortadas en cubitos"
1873;232;16;2,00;7;"Peladas, cortadas en cubitos"
1874;232;125;1,00;6;
1875;232;35;8,00;2;
1876;232;320;1,00;2;
1877;232;179;3,00;2;
1878;232;260;1,00;2;"Fresco"
1879;233;249;300,00;3;"Se puede hacer con atún en conserva"
1880;233;26;6,00;13;
1881;233;125;10,00;2;
1882;233;70;0,50;12;"Exprimida"
1883;233;262;1,00;2;"Picado fino (Coriandro, Culantro, perejil)"
1884;233;1;1,00;11;
1885;233;109;1,00;11;
1886;234;327;6,00;18;"O trucha"
1887;234;1;1,00;11;
1888;234;2;1,00;11;
1889;234;99;1,00;7;"En rodajas finas"
1890;234;153;1,00;7;
1891;234;166;1,00;20;
1892;234;207;4,00;7;
1893;234;48;4,00;18;"Fresco"
1894;234;2;1,00;2;"En granos"
1895;234;145;125,00;9;
1896;234;18;125,00;3;
1897;234;171;90,00;3;"Sin semillas"
1898;234;107;4,00;2;"Fresco"
1899;234;28;6,00;18;
1900;235;12;1,00;8;
1901;235;9;300,00;3;
1902;235;14;5,00;7;
1903;235;4;100,00;22;"Relleno"
1904;235;151;2,00;25;"Relleno"
1905;235;43;1,00;25;"Relleno"
1907;235;328;200,00;3;"Relleno"
1908;235;99;1,00;7;"Relleno"
1909;235;207;2,00;7;"Relleno"
1910;235;10;2,00;7;"Relleno"
1911;235;166;2,00;20;"Relleno"
1912;235;2;1,00;1;"Relleno, en granos"
1913;235;162;100,00;3;"Relleno"
1914;235;154;1,00;7;"Relleno"
1915;235;268;1,00;25;"Relleno"
1916;235;1;1,00;11;"Relleno"
1918;235;329;300,00;3;"Relleno"
1920;235;330;1,00;25;"Relleno"
1922;235;331;500,00;3;"Relleno"
1923;235;254;500,00;22;"Relleno"
1924;235;153;1,00;7;"Relleno"
1925;115;112;1,00;7;"Cortado en 8 partes"
1926;115;7;2,00;2;
1927;115;1;1,00;11;
1928;115;109;1,00;11;
1929;115;11;50,00;3;"Clarificada"
1930;115;234;3,00;7;"Picados fino - Cebolla de verdeo"
1931;115;166;1,00;20;
1932;115;235;6,00;20;"Fresco - seco 1/2 cucharadita"
1933;115;224;1,00;25;"Fresco - seco 1/2 cucharadita"
1934;115;107;5,00;25;
1935;115;94;0,50;6;
1936;115;179;0,50;6;
1937;115;35;1,00;6;
1938;115;29;0,25;6;"Rallado"
1939;115;235;1,00;2;"Opcional. Picado grueso para decorar"
1941;236;332;1,00;7;"De unos 3 kilos"
1942;236;28;1,00;7;"Exprimido"
1943;236;1;1,00;11;
1944;236;109;1,00;11;
1945;236;11;50,00;3;"Derretida"
1946;236;108;0,50;1;
1947;236;211;0,50;4;
1948;236;138;5,00;18;
1949;236;10;3,00;7;"Batidos"
1950;236;99;1,00;2;"En polvo o rallada"
1951;236;330;1,00;1;"Seca o fresca picada"
1952;236;107;1,00;1;"Picado"
1953;236;170;0,30;1;
1954;236;67;0,30;1;"Opcional"
1955;236;219;1,00;2;
1956;236;15;1,00;1;
1958;237;333;1,00;7;
1959;237;7;100,00;3;
1960;237;1;1,00;11;
1961;237;109;1,00;11;
1962;237;3;2,00;2;
1963;237;292;50,00;3;"Manteca"
1964;237;25;4,00;10;
1965;237;107;0,25;6;
1966;237;163;2,00;7;
1967;237;53;12,00;7;"Peladas y tostadas"
1968;237;231;1,00;6;
1969;238;332;1,00;7;"De unos 4 kilos"
1970;238;181;150,00;3;"Picada"
1971;238;211;0,50;4;
1972;238;11;100,00;3;"Ablandada a temp. Ambiente"
1973;238;147;150,00;3;"Serrano o cocido. Picado"
1974;238;334;150,00;3;
1975;238;70;1,00;7;"Exprimida"
1976;238;10;1,00;7;"Batido"
1977;238;53;100,00;3;"Picadas grueso (nueces)"
1978;238;7;0,50;6;
1979;238;128;0,50;6;"Ron"
1980;238;28;1,00;2;"Exprimido (naranja)"
1981;238;1;1,00;11;
1982;238;109;1,00;11;
1983;239;335;1,00;6;"Picadas finp"
1984;239;220;2,00;7;"Habaneros, asados, picados fino"
1985;239;1;1,00;1;
1986;239;70;1,00;6;"Agria, exprimida"
1987;240;219;200,00;3;
1988;240;107;150,00;3;"Las hojas"
1989;240;89;1,00;18;"Tostado y rallado"
1990;240;35;1,00;6;
1991;240;4;1,00;2;
1993;240;336;0,50;2;"O de alcohol"
1994;240;2;1,00;11;
1995;240;1;1,00;11;
1996;241;220;3,00;7;"Rojos, asados sin semillas"
1997;241;99;1,00;7;"Picada"
1998;241;283;150,00;3;"Troceado"
1999;241;110;1,00;7;"Cocida, pelada, troceada"
2000;241;219;1,00;6;
2001;241;251;2,00;2;"Exprimida - Naranja amarga"
2002;241;1;1,00;11;
2003;242;112;1,00;7;"Cortado en 6 presas"
2004;242;110;3,00;7;"Cortadas en rodajas"
2005;242;99;1,00;7;"Cortada en rodajas"
2006;242;57;3,00;2;
2007;242;109;1,00;11;
2008;242;170;1,00;1;
2009;242;179;0,50;6;"Hecho con 1 cubito"
2010;242;1;1,00;11;
2011;243;57;2,00;2;
2012;243;337;0,50;1;" Semillas de hinojo: 1/2 cdtas."
2013;243;99;1,00;7;"Cortada en rodajas finas"
2014;243;61;2,00;7;"Pelados, en rodajas"
2015;243;152;0,50;7;"En rodajas"
2016;243;48;1,00;1;"Fresco, rallado"
2017;243;25;1,00;10;"Picado"
2018;243;5;1,00;1;"Opcional"
2019;243;262;2,00;2;"Picado. Perejil picado: 2 cdas."
2020;243;110;1,00;7;"Grande, en dados"
2021;243;1;0,50;1;"Opcional"
2022;243;184;0,50;6;
2023;243;316;2,30;6;
2024;243;12;3,00;6;
2025;243;61;4,00;14;"Para decoración"
2026;243;107;4,00;25;"Para decoración"
2027;244;68;500,00;3;
2028;244;92;4,00;2;
2029;244;12;4,00;31;"Bien fría"
2030;244;18;8,00;2;
2031;244;281;20,00;30;
2032;245;104;750,00;3;
2033;245;88;1,00;6;"Bien concentrado, frío"
2034;245;103;6,00;2;
2035;245;79;8,00;2;
2036;245;35;150,00;3;
2037;245;91;1,00;2;
2039;246;338;400,00;3;"O crema moka"
2040;246;191;50,00;3;"Picadas grueso"
2041;246;88;250,00;22;"Bien frío"
2044;246;339;1,00;24;"O crema de cacao"
2046;247;340;4,00;18;"Duro"
2047;247;61;4,00;7;"Maduros"
2048;247;335;1,00;7;"En rodajas finas"
2049;247;50;1,00;7;"Sin semillas, en cubitos"
2050;247;84;0,25;6;
2051;247;78;1,00;2;
2052;247;107;2,00;2;
2053;247;145;2,00;2;
2054;247;4;6,00;2;
2055;247;1;1,00;11;
2056;247;109;1,00;11;
2057;248;14;6,00;7;
2058;248;10;4,00;7;
2059;248;70;600,00;9;"Exprimidas"
2060;248;71;1,00;2;
2061;249;21;1,00;15;
2062;249;341;1,00;21;"Tubito ???"
2063;249;284;2,00;24;
2064;249;92;4,00;1;
2065;249;18;200,00;3;
2066;249;281;4,00;30;
2067;250;88;4,00;2;"Molido"
2069;250;342;2,00;7;"Maduras"
2070;250;21;400,00;9;
2071;250;18;1,00;11;
2072;250;43;1,00;11;
2074;252;88;4,00;2;"Molido"
2075;252;343;4,00;2;
2076;252;35;8,00;2;
2077;252;14;1,00;7;
2078;253;88;4,00;2;"Molido"
2079;253;18;8,00;1;
2080;253;12;750,00;9;
2081;253;35;200,00;3;
2082;253;103;4,00;24;
2083;254;88;4,00;2;"Molido"
2084;254;18;200,00;3;
2085;254;35;4,00;2;
2086;255;18;1,00;2;
2087;255;69;1,00;2;"En polvo"
2088;255;35;0,30;31;"Líquida"
2089;255;323;1,00;8;"Para cubir"
2090;255;43;1,00;8;
2091;255;88;1,00;6;"Fuerte (espresso)"
2092;256;88;1,00;6;
2093;256;21;1,00;11;
2094;256;18;1,00;11;
2096;256;104;2,00;34;
2097;256;69;1,00;2;"En polvo"
2098;256;323;1,00;2;
2099;256;297;1,00;7;
2100;257;18;1,00;2;
2101;257;284;0,50;24;
2102;257;88;1,00;6;"Espresso"
2103;257;323;1,00;2;
2104;258;88;0,50;15;
2105;258;35;200,00;3;"Líquida"
2106;258;18;4,00;2;
2107;258;14;4,00;7;
2108;259;342;4,00;7;"Maduras"
2109;259;181;200,00;3;
2110;260;202;500,00;3;
2112;260;344;3,00;18;"Cortadas en cubitos"
2113;260;1;1,00;11;
2114;260;109;1,00;11;
2115;260;320;1,00;11;
2116;261;14;2,00;7;
2117;261;11;150,00;3;
2118;261;28;3,00;2;"Exprimido"
2119;261;1;1,00;11;
2120;262;141;2,00;7;
2121;262;70;4,00;7;"Medianas"
2122;262;28;3,00;2;"Exprimido"
2123;262;4;3,00;2;
2124;262;1;1,00;11;
2125;262;109;1,00;11;
2126;263;112;1,00;7;"Cortado en presas"
2127;263;11;50,00;3;
2128;263;57;2,00;2;
2129;263;70;4,00;2;"Exprimidas"
2130;263;1;1,00;11;
2131;263;264;1,00;11;
2132;263;7;1,00;8;"Para rebozar las presas"
2133;263;169;200,00;3;"Picado fino"
2134;263;94;0,50;31;
2135;263;284;1,00;24;
2136;263;100;100,00;3;"Cortaditas en rodajas gruesas"
2137;263;35;100,00;3;
2138;263;287;25,00;3;"Picado grueso"
2139;263;7;1,00;2;"Para espesar"
2140;264;11;1,00;2;
2141;264;18;2,00;2;
2142;264;70;1,00;7;"Exprimida"
2143;264;28;1,00;7;"Exprimido"
2145;264;345;0,50;4;"Sin los cabitos"
2146;264;342;1,00;7;"En rodajas finas"
2147;264;20;1,00;24;"O cognac"
2148;264;104;0,50;4;"O gusto a elección"
2149;265;346;1,00;7;
2150;265;345;250,00;3;"Frutillas"
2151;265;18;0,50;6;
2152;265;70;0,50;6;"Exprimida"
2153;265;71;1,00;1;
2156;265;347;2,00;2;"Kirsch"
2157;265;53;2,00;2;"Fileteadas. Opcional"
2158;265;104;750,00;3;"O gustos a elección"
2159;266;70;600,00;9;"Exprimidas"
2160;266;10;8,00;7;
2161;266;18;150,00;3;
2162;266;71;1,00;1;
2163;266;56;1,00;1;
2164;266;18;0,30;6;
2165;267;312;1,00;7;"De unos 2,5 kilos"
2166;267;70;0,50;7;"En cuarto trozos"
2167;267;1;1,00;11;
2168;267;109;1,00;11;
2169;267;79;1,00;2;
2170;267;99;1,00;7;"En rodajas finas"
2171;267;153;1,00;7;"En rodajas finas"
2172;267;70;0,75;6;"Exprimida"
2173;267;7;1,00;2;
2174;267;179;0,75;6;
2176;267;348;1,00;2;"Vinagre de vino blanco: 1 cda."
2179;267;349;1,00;1;
2180;267;107;1,00;8;"Para decorar"
2181;269;70;4,00;7;"Dulces, jugosas"
2182;269;18;115,00;3;
2183;270;55;30,00;3;
2184;270;12;0,50;6;"Tibia"
2185;270;21;1,25;6;
2186;270;18;2,00;2;
2187;270;1;1,00;2;
2188;270;4;3,00;2;
2189;270;7;9,00;2;
2190;270;10;1,00;7;
2191;270;17;1,00;8;"Para espolvorear"
2192;271;112;1,00;7;"De unos 2 kilos"
2193;271;25;6,00;10;
2194;271;28;2,00;7;
2195;271;4;150,00;9;
2196;271;62;1,00;2;"Preferentemente fresco"
2197;271;1;1,00;11;
2198;271;109;1,00;11;
2199;272;255;150,00;3;"En tiritas pequeñas"
2200;272;21;250,00;9;
2201;272;133;250,00;3;"En tajadas finas"
2202;272;10;4,00;7;
2203;272;35;200,00;9;
2204;272;29;100,00;3;"Rallado. Provolone"
2205;272;116;100,00;3;"En cubitos"
2206;272;11;60,00;3;
2207;272;257;400,00;3;"Cocidos, calientes"
2208;272;109;1,00;11;
2209;272;1;1,00;11;
2210;273;227;16,00;7;"En bifes pequeños"
2211;273;147;16,00;26;
2212;273;7;1,00;8;"Para rebozar"
2213;273;330;16,00;20;
2214;273;1;1,00;11;
2215;273;2;1,00;11;
2216;273;11;100,00;3;
2217;273;94;1,00;31;
2218;274;99;1,00;7;"En rodajas finas y éstas en cuartos"
2219;274;57;0,50;31;
2220;274;21;500,00;9;
2221;274;1;1,00;1;
2222;274;8;750,00;3;
2224;274;350;1,00;8;"Para espolvorear"
2225;274;7;1,00;8;"Para espolvorear"
2226;274;3;1,00;8;"Para la placa"
2227;275;110;250,00;3;"En rodajas finas"
2228;275;148;200,00;3;"En tajadas finas. Fontina"
2229;275;256;50,00;3;"Rallado"
2230;275;35;200,00;3;
2231;275;21;0,60;6;
2232;275;1;1,00;11;"Con moderación"
2233;275;67;0,30;1;
2234;275;2;1,00;11;
2235;275;11;1,00;8;"Para la fuente"
2238;276;351;12,00;7;
2239;276;54;250,00;3;
2240;276;11;100,00;3;"A temp. Ambiente"
2241;276;10;1,00;7;"Ligeramente batido"
2242;276;35;100,00;3;
2243;276;18;0,50;1;
2244;276;1;1,00;11;
2245;276;67;0,30;1;
2246;276;11;1,00;8;"Para untar la fuente"
2247;276;162;1,00;8;"Para espolvorear"
2248;277;293;70,00;3;
2249;277;35;150,00;3;
2250;277;320;1,00;2;
2251;277;191;50,00;3;"Peladas y cortadas en trozos"
2252;277;1;1,00;11;"Con moderación"
2253;277;264;1,00;11;
2254;278;30;300,00;3;
2255;278;29;200,00;3;"En un trozo. Provolone"
2256;278;167;8,00;7;
2257;278;4;5,00;2;"Para aliño"
2258;278;320;1,00;1;"Para aliño"
2259;278;248;1,00;2;"Para aliño"
2260;278;38;1,00;1;"Para aliño"
2261;278;1;1,00;11;"Para aliño"
2262;278;2;1,00;11;"Para aliño"
2263;279;40;2,50;6;
2264;279;35;500,00;3;
2265;279;99;3,00;7;"Picadas fino"
2266;279;234;4,00;7;"Picados fino"
2270;279;352;2,00;2;
2271;279;133;150,00;3;"En tajadas finas, rociados con limón o camarones"
2272;279;11;70,00;3;
2273;279;1;1,00;11;
2274;279;109;1,00;11;
2275;279;166;2,00;20;
2276;279;224;3,00;25;
2277;279;268;3,00;25;
2278;279;107;4,00;25;"O Albahaca"
2279;279;70;1,00;7;"La cáscara en un trozo de 3x5 cm"
2280;281;41;1,00;16;
2281;281;77;300,00;3;"Sabor a gusto"
2282;281;18;4,00;2;
2283;281;159;1,00;11;"Opcional"
2284;282;351;8,00;7;
2285;282;282;100,00;3;
2286;282;148;100,00;3;" Rallado"
2287;282;54;100,00;3;
2288;282;84;10,00;20;"En tiritas"
2289;282;4;4,00;2;
2290;282;61;1,00;7;"En rodajas finas"
2291;282;128;3,00;2;
2292;282;35;2,00;2;
2293;282;109;1,00;11;
2294;283;110;1,00;4;"Hervidas, calientes"
2295;283;21;0,25;6;"Tibia"
2296;283;11;2,00;2;
2297;283;162;0,50;6;
2298;283;1;1,00;11;
2299;283;109;1,00;11;
2300;283;116;150,00;3;"En fetas"
2301;283;181;150,00;3;"En fetas"
2302;283;35;250,00;3;
2304;284;110;6,00;7;
2305;284;11;3,00;2;
2306;284;1;1,00;11;
2307;284;67;1,00;11;
2308;284;109;1,00;11;
2309;284;21;0,50;6;
2310;285;99;3,00;7;"Grandes"
2311;285;57;1,00;6;
2312;285;15;1,00;6;
2313;286;110;1,00;4;
2314;286;3;1,00;8;
2315;286;35;0,50;6;
2316;286;77;2,00;2;
2317;286;204;2,00;2;"Picado"
2318;286;224;1,00;2;
2319;286;25;1,00;10;"Machacado"
2320;286;26;1,00;1;"Opcional"
2321;287;140;2,00;31;
2322;287;7;250,00;3;
2323;287;18;3,00;2;
2324;287;3;2,00;2;
2325;287;1;0,50;1;
2326;287;10;3,00;7;"Batidos ligeramente"
2327;287;11;1,00;8;"Para untar la sartén"
2328;288;110;2,00;6;"Cocidas, calientes, en puré"
2329;288;11;80,00;3;
2330;288;10;2,00;7;
2331;288;109;1,00;11;
2332;288;67;1,00;11;
2333;288;1;1,00;11;
2334;289;27;4,00;7;"En bifes"
2335;289;11;30,00;3;
2336;289;4;1,00;2;
2337;289;2;1,00;2;"En granos, triturada gruesa"
2338;289;1;1,00;11;
2339;290;203;4,00;7;"De 1 cm de grosor"
2340;290;94;2,00;2;
2341;290;4;4,00;2;
2342;290;29;1,00;6;"Rallado"
2343;290;1;1,00;11;
2344;290;109;1,00;11;
2346;291;18;240,00;3;
2347;291;14;8,00;7;
2348;291;13;4,00;7;
2349;291;12;1,00;15;
2350;291;35;1,00;15;
2351;291;1;1,00;5;
2352;292;21;0,50;15;
2353;292;287;125,00;3;"Amargo, rallado"
2354;292;10;3,00;7;"Batidos"
2355;292;18;125,00;3;
2356;293;44;1,00;6;
2358;293;353;1,00;6;"Cocida."
2359;293;99;0,50;7;
2360;293;10;4,00;7;"Duros"
2363;293;354;2,00;6;"Chirlona"
2364;293;215;0,25;6;
2365;293;108;1,00;1;
2366;293;162;0,50;6;
2367;293;1;1,00;11;
2368;293;109;1,00;11;
2369;294;210;500,00;3;
2370;294;113;2,00;2;
2371;294;10;1,00;7;
2372;294;94;0,50;31;
2373;294;162;1,00;2;
2374;294;62;1,00;11;
2375;294;1;1,00;11;
2376;295;3;0,25;6;
2377;295;99;2,00;7;
2378;295;227;1,00;4;"En cubos"
2379;295;1;1,00;11;
2380;295;109;1,00;11;
2381;295;108;1,00;11;
2382;295;25;2,00;10;
2383;295;320;1,00;30;"En polvo"
2384;295;15;0,25;6;
2385;295;35;0,25;15;
2386;296;112;1,00;7;"En 8 presas"
2387;296;131;2,00;6;"Los pétalos, lavados"
2388;296;43;1,00;5;
2389;296;18;1,00;1;
2390;296;94;1,00;31;"Futado"
2391;296;57;2,00;2;
2392;296;1;1,00;11;
2393;297;227;1,00;4;"En trozos no muy pequeños"
2394;297;292;75,00;3;
2395;297;99;0,50;4;"Picadas fino"
2396;297;25;1,00;10;"Picado fino"
2397;297;1;1,00;11;
2398;297;108;1,00;2;"Dulce"
2399;297;108;1,00;1;"Picante"
2400;297;229;3,00;2;
2401;297;7;3,00;2;
2402;297;12;1,00;6;"Caliente"
2403;298;306;12,00;7;
2404;298;25;2,00;10;"Picado fino"
2405;298;107;0,50;6;"Picado"
2406;298;61;4,00;7;"Maduros, rallados"
2407;298;152;2,00;7;"Sin semillas ni nervaduras"
2408;298;94;1,50;6;
2409;298;4;4,00;2;
2410;298;1;1,00;11;
2411;298;2;1,00;11;
2412;299;7;0,50;4;
2413;299;21;0,50;6;
2414;299;1;1,00;1;
2415;299;3;1,00;2;
2416;299;162;0,50;6;
2417;299;10;2,00;7;
2418;299;12;1,00;8;
2419;300;355;450,00;3;"Cocidos"
2421;300;356;3,00;6;"De lata"
2422;300;357;250,00;3;
2423;300;282;2,00;6;"Rallado"
2424;300;35;0,30;6;
2425;300;141;1,00;7;"Para Guacamole"
2426;300;99;1,00;7;"Para Guacamole, picada fina"
2427;300;61;1,00;7;"Para Guacamole, maduro y pelado"
2428;300;28;1,00;2;"Para Guacamole, exprimido"
2429;300;4;2,00;2;"Para Guacamole"
2430;300;1;1,00;11;"Para Guacamole"
2431;300;2;1,00;11;"Para Guacamole"
2432;301;9;1,00;6;
2433;301;1;0,30;1;
2434;301;286;3,00;1;
2435;301;10;2,00;7;
2436;301;35;1,00;6;
2437;301;18;0,25;6;
2438;301;69;0,25;6;
2439;301;56;1,50;1;
2440;301;13;2,00;7;
2441;301;11;1,00;8;"Para la waflera"
2442;302;3;1,00;2;
2443;302;99;1,00;7;"Picada"
2444;302;210;500,00;3;
2445;302;5;1,00;1;
2446;302;62;1,00;1;
2447;302;142;5,00;13;
2448;302;12;0,25;6;
2449;302;358;0,50;6;
2450;302;359;8,00;7;"Tortillas de maíz"
2451;302;32;4,00;20;"En tiras finas"
2452;302;61;1,00;7;"Picado"
2453;302;282;1,00;6;"Rallado"
2454;303;110;700,00;3;"En daditos"
2455;303;99;1,00;7;"Picada"
2456;303;163;1,00;7;"Picado"
2457;303;176;1,00;7;"En rodajas"
2458;303;10;7,00;7;
2459;303;21;3,00;2;
2460;303;1;1,00;11;
2461;303;109;1,00;11;
2462;303;3;1,00;8;"Para freir"
2463;303;32;6,00;20;"Para decorar"
2464;303;61;2,00;7;"Para decorar, en gajos"
2465;304;10;6,00;7;
2466;304;25;5,00;10;
2467;304;4;5,00;2;
2468;304;1;1,00;11;
2469;305;202;8,00;27;"Medianos"
2470;305;344;4,00;18;"En almíbar"
2471;305;196;1,00;6;
2472;305;344;0,60;6;"El almíbar"
2473;305;330;1,00;2;"Fresca, picada. Tomillo seco."
2474;305;11;100,00;3;
2475;305;1;1,00;11;
2476;305;109;1,00;11;
2478;306;360;0,75;6;
2479;306;12;1,00;6;
2480;306;21;1,00;6;
2481;306;10;2,00;7;
2482;306;303;1,50;2;
2483;306;7;1,50;6;
2484;306;286;2,00;1;
2485;306;1;0,50;1;
2486;306;139;0,25;1;
2487;306;11;4,00;2;
2488;307;10;6,00;7;
2489;307;9;100,00;3;
2490;307;1;0,50;1;
2491;307;18;2,00;2;
2492;307;160;225,00;3;
2494;307;361;1,00;5;
2495;307;21;3,00;2;
2496;307;67;1,00;5;"Opcional"
2497;307;43;1,00;5;"Opcional"
2498;307;170;1,00;5;"Opcional"
2499;307;11;4,00;2;"Derretida"
2500;307;3;2,00;2;
2501;307;38;1,00;6;
2502;308;360;3,00;6;"Blanca"
2503;308;1;0,50;1;
2504;308;12;2,00;6;"Tibia"
2505;308;7;1,00;8;"Para espolvorear"
2506;309;110;1,00;4;
2507;309;7;250,00;3;
2508;309;162;2,00;2;
2509;309;1;2,00;1;"Opcional"
2510;309;14;2,00;7;
2511;309;67;1,00;11;"Opcional"
2512;309;7;1,00;8;"Para espolvorear"
2513;310;10;4,00;7;
2514;310;11;30,00;3;
2515;310;107;1,00;2;"Picado"
2516;310;1;1,00;11;
2517;310;109;1,00;11;
2518;310;107;1,00;8;"Las hojas, para decorar"
2519;311;7;0,30;6;
2520;311;10;3,00;7;
2521;311;21;0,75;6;
2522;311;11;20,00;3;
2523;311;115;0,75;6;"Cortados en tajadas finas. Cebolla de verdeo"
2524;311;228;250,00;3;"Cortados en tajadas finas"
2525;311;11;1,00;8;"Para untar la sartén"
2526;311;28;1,00;2;"Exprimido"
2527;311;1;1,00;11;
2528;311;109;1,00;11;
2529;312;237;4,00;7;
2530;312;116;4,00;26;
2532;312;362;4,00;26;
2533;312;10;1,00;7;"Batido"
2534;312;7;0,30;6;
2535;312;113;0,50;6;
2536;312;3;1,00;8;"Para pincelar"
2537;312;1;1,00;11;
2538;312;109;1,00;11;
2539;313;237;4,00;7;
2540;313;35;100,00;3;
2541;313;42;1,00;12;
2542;313;11;1,00;28;
2543;313;148;50,00;3;"Rallado. Queso Emmenthal ralllado"
2544;313;1;1,00;11;
2545;313;109;1,00;11;
2546;314;237;4,00;7;
2547;314;158;4,00;26;
2548;314;7;2,00;2;
2549;314;11;2,00;2;
2550;314;25;1,00;10;
2551;314;35;200,00;3;
2552;314;320;2,00;2;"Tipo francesa"
2553;314;107;1,00;2;"Picado"
2554;314;150;1,00;2;
2555;314;254;1,00;2;
2556;314;1;1,00;11;
2557;314;109;1,00;11;
2558;315;227;500,00;3;"En trozos"
2559;315;211;250,00;3;"En trozos"
2560;315;181;200,00;3;"En cubitos"
2561;315;116;200,00;3;"En cubitos"
2562;315;10;2,00;7;"Batidos"
2563;315;128;100,00;9;"Jerez"
2564;315;99;0,50;6;"Picada fina"
2565;315;201;100,00;3;"Picadas"
2566;315;133;100,00;3;"En rodajas"
2567;315;1;1,00;11;
2568;315;2;1,00;11;
2569;315;224;0,50;1;
2570;315;11;1,00;8;"Para untar"
2571;315;201;5,00;7;"Para decorar"
2572;315;133;5,00;7;"Para decorar, los sombreros"
2573;316;190;300,00;3;"Rallado o en trocitos"
2574;316;35;250,00;3;
2576;316;363;4,00;2;
2577;316;226;200,00;3;"Cualquier fruta"
2578;316;285;4,00;7;"Cortados en gajos y éstos en 4"
2579;316;342;3,00;7;"En rodajas rociadas con limón"
2580;316;19;200,00;3;
2581;316;364;200,00;3;"Vainillas"
2582;317;265;1,00;7;"En cubitos. Durazno"
2583;317;342;1,00;7;"En cubitos"
2584;317;16;1,00;7;"En gajos finos"
2586;317;365;1,00;7;"En gajos finos"
2588;317;366;24,00;7;"Sin los cabitos"
2589;317;130;24,00;7;"Sin los cabitos"
2590;317;28;0,50;7;"En rodajas finas. Naranja"
2591;317;11;50,00;3;
2592;317;94;150,00;9;"Dulce. Oporto"
2593;317;28;0,50;7;"Exprimido"
2594;317;18;100,00;3;
2595;317;43;0,50;1;
2596;317;67;1,00;5;"Opcional"
2597;318;362;300,00;3;"usar variados: gruyere, holanda"
2598;318;25;1,00;10;
2599;318;94;1,00;31;
2600;318;159;1,00;24;
2601;318;15;1,00;1;
2602;318;109;1,00;5;
2603;318;67;1,00;5;
2604;318;89;0,50;4;"Del día anterior, en cubitos"
2605;319;68;1,00;4;"Crema americana"
2606;319;159;2,00;2;
2607;319;35;250,00;3;"Batida firme"
2608;319;345;250,00;3;"Frutillas"
2609;319;19;200,00;3;
2610;320;43;1,00;25;
2611;320;12;5,00;6;
2612;320;18;1,25;6;
2613;320;12;2,00;2;
2614;320;15;1,00;2;
2615;320;28;1,00;2;"Exprimido"
2616;321;21;1,00;15;
2617;321;48;50,00;3;"Fresco, pelado, picado"
2618;321;14;6,00;7;
2619;321;18;150,00;3;
2620;321;35;250,00;3;
2621;322;16;1,00;7;
2622;322;70;6,00;7;"Exprimidas"
2623;322;28;6,00;7;"Exprimidos"
2624;322;367;10,00;7;
2625;322;70;1,00;7;"En gajos"
2626;322;285;3,00;7;"En rodajas"
2627;322;38;5,00;2;
2629;322;368;10,00;7;
2630;322;342;2,00;7;"En rodajas, rociadas con limón"
2631;323;158;750,00;3;"Usar quesos variados"
2632;323;15;3,00;1;
2633;323;109;1,00;5;
2634;323;25;1,00;10;
2635;323;67;1,00;5;
2636;323;28;1,00;2;"Exprimido"
2637;323;159;1,00;24;
2638;323;277;300,00;22;"Seco"
2639;323;89;1,00;4;"En cubitos, con corteza, del día anterior"
2640;324;227;1,20;4;"Preferentemente lomo"
2641;324;44;4,00;6;"Pequeñas"
2642;324;110;4,00;7;
