"IDIngredienteReceta";"IDReceta";"IDIngrediente";"Cantidad";"IDUnidad";"Observación"
398;52;123;1,00;2;
399;52;99;0,50;7;"Pequeña"
400;52;107;1,00;2;"Las hojas"
402;52;125;4,00;2;
405;53;126;2,00;7;"Filetes"
406;53;127;4,00;2;
407;53;77;0,50;6;
408;53;35;0,50;6;
409;53;14;2,00;7;
410;53;11;1,00;2;
411;53;103;1,00;2;
412;53;71;1,00;1;
413;53;1;1,00;11;
414;53;108;1,00;11;
415;53;109;1,00;11;
418;54;128;2,00;24;
419;54;14;6,00;7;
420;54;18;300,00;3;
421;54;15;1,00;1;
422;54;21;0,75;15;
423;54;69;1,00;2;
424;55;7;125,00;3;
425;55;10;2,00;7;
426;55;21;250,00;9;
427;55;11;60,00;3;
428;55;28;0,50;7;
429;55;70;0,50;7;
430;55;18;10,00;7;"P/ la salsa. En terrones."
431;55;70;1,00;7;"Para la salsa"
432;55;28;1,00;7;"Para la salsa"
434;55;11;125,00;3;"Para la salsa. Cortada en pequeños trozos"
435;55;129;90,00;9;"Para la salsa"
437;56;130;1,00;4;
438;56;131;100,00;3;"Los pétalos"
439;56;18;140,00;3;
440;56;132;0,33;6;
441;56;35;0,50;4;"Espesa, batida"
448;58;35;2,00;6;
449;58;79;2,00;6;
450;58;11;1,00;6;
451;58;1;1,00;5;
452;58;11;1,00;2;
453;59;136;1,50;4;
454;59;1;1,00;4;
455;59;18;100,00;3;
456;59;25;5,00;10;"Machacado"
457;59;137;0,25;1;
458;59;2;2,00;2;"En granos"
459;59;108;2,00;2;"Dulce"
460;59;5;2,00;2;
461;59;94;1,00;6;"Seco"
462;59;4;5,00;2;
464;60;138;6,00;18;"Algo grueso"
465;60;11;100,00;3;"Derretida, fría"
466;60;29;0,75;6;"Rallado fino"
467;60;11;1,00;8;"Para untar la placa"
468;61;21;2,00;15;
469;61;44;0,50;6;
470;61;28;0,25;7;"La cáscara"
472;61;139;1,00;5;
473;61;43;1,00;11;"Para rociar"
475;63;133;350,00;3;"Pequeños"
476;63;7;1,00;6;
477;63;1;1,00;5;
478;63;107;1,00;2;"Picado finamente"
479;63;11;30,00;3;"Derretida, a temp. Ambiente"
482;63;140;0,75;6;
483;63;3;1,00;8;"Para freir"
484;63;25;2,00;10;"Picado finamente. Para la Salsa"
485;63;26;2,00;1;"Para la salsa"
486;63;12;1,00;6;"Para la salsa"
487;63;18;2,00;2;"Para la salsa"
488;63;15;3,00;1;"Para la salsa"
489;63;109;1,00;11;"Para la salsa"
490;64;21;2,50;15;
491;64;18;1,00;4;
492;64;139;1,00;1;
493;64;80;0,50;17;
495;65;141;6,00;7;"Grande, a punto"
496;65;25;1,00;10;"Cortado en trozos"
497;65;99;1,00;7;"Mediana, troceada"
498;65;28;4,00;7;"Exprimido y colado"
499;65;109;1,00;11;
501;65;142;1,00;1;
502;65;1;1,00;11;
503;65;121;12,00;25;
504;66;70;4,00;7;"Medianas"
506;66;143;12,00;20;"Tiernas, sin tallo"
507;66;99;1,00;7;"Roja, mediana"
508;66;144;0,50;6;"Negras"
509;66;4;0,30;2;
511;66;145;2,00;2;
512;66;1;1,00;11;
513;66;109;1,00;11;
515;66;146;1,00;8;"Tostados, opcional"
517;67;147;12,00;26;"Serrano"
518;67;112;1,00;6;"Cocido, picado, sin piel"
519;67;148;1,00;6;"Cortado en daditos"
520;67;66;0,75;6;"Escurridas, cortadas en daditos"
521;67;150;3,00;13;
522;67;125;3,00;2;
523;67;28;1,00;2;"Exprimido"
524;68;151;4,00;25;"Sin nervaduras"
525;68;152;1,00;7;"Cortado en tiras"
526;68;153;2,00;7;"Peladas, cortadas en tiras"
527;68;154;1,00;7;"Separadas las hojas, cortadas en mitades"
528;68;155;3,00;25;"Sin hilos ni nervaduras"
529;68;156;1,00;7;"Cocido, separado en ramitos"
530;68;4;0,50;6;
531;68;11;0,50;6;
532;68;25;4,00;10;"Bien machacados"
534;68;157;8,00;27;"Trituradas"
535;68;2;1,00;11;
536;69;158;400,00;3;"Rallado grueso"
537;69;148;400,00;3;"Rallado grueso"
538;69;15;1,00;1;"Colmada"
539;69;94;0,50;15;"Seco"
540;69;25;1,00;10;"Cortado en mitades"
541;69;28;4,00;1;"Exprimido"
542;69;159;1,00;24;
543;69;67;1,00;11;
544;69;2;1,00;11;
545;70;110;4,00;7;"Grandes"
546;70;57;2,00;2;
547;70;11;4,00;2;
548;70;1;1,00;11;
549;70;2;1,00;11;
550;70;35;125,00;3;"Agria, agregar 1 cucharadita de limón."
551;70;14;2,00;7;
552;71;161;2,00;7;
553;71;99;2,00;7;"En tajadas finas"
554;71;35;100,00;3;
555;71;94;1,00;12;"Seco"
556;71;1;1,00;11;
557;71;67;1,00;5;
558;71;107;2,00;2;"Picado"
559;71;57;4,00;2;
560;72;99;6,00;7;"Grandes y sanas"
561;72;153;2,00;7;"Medianas, ralladas"
562;72;89;3,00;7;"Pequños, descortezados y remojados en leche"
564;72;162;3,00;2;
565;72;10;2,00;7;
566;72;25;2,00;10;"Picados finamente"
567;72;1;1,00;11;
568;72;3;3,00;2;
569;72;107;1,00;8;"Para decorar"
570;72;163;1,00;7;"En tiritas, para decorar"
571;73;110;6,00;7;"Medianas"
573;73;164;100,00;3;
574;73;77;0,50;15;
575;73;1;1,00;1;
576;73;11;1,00;2;
577;73;24;1,00;1;
578;73;48;1,00;1;"Rallado"
579;73;152;3,00;2;"Picados"
580;73;5;1,00;1;
581;73;107;4,00;25;"Para decorar"
582;73;61;1,00;7;"Para decorar, en rodajas finas"
583;74;165;2,00;4;"Limpio"
584;74;110;2,00;4;
585;74;25;4,00;10;"Picados finamente"
586;74;4;1,00;12;
587;74;108;1,00;2;
589;74;166;3,00;20;
590;74;109;1,00;11;
591;74;1;1,00;11;
592;75;61;6,00;7;"Medianos, algo verdes"
593;75;7;150,00;3;
594;75;10;2,00;7;
595;75;3;1,00;2;
596;75;140;1,00;6;
597;75;107;1,00;12;"Las hojas, picadas gruesamente"
598;75;1;1,00;11;
599;75;109;1,00;11;
600;75;3;1,00;8;"Para freir"
601;76;133;300,00;3;
602;76;3;0,75;12;
603;76;25;1,00;10;"Picado"
604;76;99;0,50;7;"Picada"
605;76;107;2,00;2;"Picado"
606;76;1;1,00;11;
607;76;109;1,00;11;
608;76;28;1,00;7;"Exprimido"
610;76;107;4,00;20;"Para decorar"
611;76;167;4,00;7;"Para decorar"
612;77;168;500,00;3;
613;77;99;1,00;7;"Mediana, finamente picada"
614;77;153;1,00;7;"Rallada"
615;77;169;2,00;7;"Finamente picada"
616;77;25;1,00;10;"Finamente picado"
617;77;4;4,00;2;
618;77;170;0,50;1;
619;77;67;0,50;1;
620;77;100;10,00;7;"Cortadas en rodajas"
621;77;10;4,00;7;"Duros, picados gruesamente"
622;77;171;3,00;2;
623;77;110;1,75;4;"En puré"
624;77;10;1,00;7;"Ligeramente batido"
625;77;18;2,00;2;
626;77;1;1,00;11;
627;77;109;1,00;11;
628;78;172;0,50;4;
629;78;173;300,00;3;"Remojados 8hs, cocidos pero firmes"
630;78;174;0,50;4;"Cortado en tiritas finas"
631;78;175;200,00;3;"Cortado en tiritas finas"
632;78;176;1,00;7;"Cortado en rodajas finas"
633;78;177;200,00;3;"Cortado en rodajas"
634;78;178;600,00;3;"Sin cáscara, cortado en cubitos"
635;78;1;1,00;11;
636;78;109;1,00;11;
637;78;58;4,00;2;"Para la salsa"
638;78;169;3,00;7;"Picadas finamente, para la salsa"
639;78;108;1,00;2;"Para la salsa"
640;79;179;600,00;9;
641;79;180;1,00;2;
642;79;181;100,00;3;
643;79;97;350,00;3;"Sin piel ni hueso"
644;79;4;3,00;2;
645;79;99;200,00;3;"Cortada en rodajas finas"
646;79;152;1,00;7;"Cortado en tiras"
647;79;163;1,00;7;"Cortado en tiras"
648;79;25;2,00;10;"Picado"
649;79;186;400,00;3;"Triturado"
650;79;44;250,00;3;"Grano largo"
651;79;1;1,00;11;
652;79;109;1,00;11;
653;79;183;250,00;3;"Pequeños"
654;79;182;400,00;3;
655;79;184;200,00;3;"Congeladas"
656;79;94;2,00;2;
657;79;185;200,00;3;"Pelados"
658;79;185;12,00;7;"Enteros"
659;79;107;3,00;2;"Picado"
660;79;28;2,00;7;"Cortados en gajos, para decorar"
661;80;6;1,00;15;
662;80;80;0,25;17;
663;80;70;1,00;7;"De ombligo"
664;80;18;1,00;4;"Preferentemente en cubos"
665;80;12;1,00;15;
666;81;190;150,00;3;"Rallado grueso"
667;81;11;300,00;3;
668;81;7;400,00;3;"Cernida"
669;81;191;200,00;3;"Picadas gruesamente"
670;81;11;1,00;8;"Para untar el molde"
671;81;7;1,00;8;"Para espolvorear"
672;81;10;4,00;7;
673;81;18;1,50;6;
674;82;14;1,00;7;
675;82;28;2,00;2;"Exprimido"
676;82;57;275,00;9;
677;82;35;3,00;2;
678;82;151;4,00;25;"Sin las fibras duras"
679;82;191;50,00;3;"Picadas"
680;82;16;3,00;7;"Medianas"
681;82;32;8,00;20;
682;82;1;1,00;11;
683;82;109;1,00;11;
684;83;27;8,00;18;"Cortadas finamente"
685;83;150;1,00;2;
686;83;28;1,00;2;"Exprimido"
687;83;4;1,00;2;
688;83;1;1,00;11;
689;83;109;1,00;11;
691;83;11;1,00;28;
692;84;52;2,00;4;"Cortada en filetes con piel y espinas (o Salmón)"
693;84;192;375,00;3;
694;84;79;125,00;3;"No muy oscuro o Azúcar rubio"
695;84;103;2,00;2;
696;84;193;0,50;6;
697;85;11;95,00;3;"A temperatura ambiente"
698;85;18;480,00;3;
699;85;10;4,00;7;
700;85;28;4,00;7;"Exprimidos"
702;85;194;2,00;2;"Rallada"
703;85;21;1,00;15;
704;85;9;70,00;3;
705;86;10;3,00;7;
706;86;54;250,00;3;
707;86;18;150,00;3;
708;86;92;1,00;1;
709;86;128;1,00;1;
710;86;190;2,00;2;"Rallado para espolvorear"
711;86;1;1,00;5;
712;87;13;10,00;7;"A temperatura ambiente"
713;87;18;300,00;3;
714;87;18;200,00;3;"Para caramelo líquido"
715;87;12;50,00;9;"Para caramelo líquido"
716;87;14;10,00;7;"A temp. Ambiente p/Sambayón"
717;87;18;300,00;3;"Para Sambayón"
718;87;15;1,00;2;"Para Sambayón"
719;87;196;10,00;2;"Para Sambayón"
720;87;191;100,00;3;"Picadas gruesamente."
721;88;7;1,00;4;
722;88;1;10,00;3;
723;88;18;250,00;3;
724;88;55;25,00;3;
725;88;56;0,50;2;
726;88;194;0,25;2;"Rallada"
727;88;12;0,50;15;"Mineral"
728;88;10;1,00;7;"Ligeramente batido para pintar"
729;88;11;1,00;8;"Para untar"
731;88;197;1,00;8;"Para pìntar"
732;88;7;1,00;8;"Para espolvorear"
733;88;11;0,50;4;"A temp. Ambiente, para empaste"
734;88;7;150,00;3;"Para empaste"
736;89;198;200,00;3;"Fondant/rallado"
737;89;11;200,00;3;"A temperatura ambiente"
738;89;91;6,00;2;
739;89;10;4,00;7;
740;89;53;100,00;3;"Molidas"
