"IDNotaPorReceta";"IDReceta";"IDNota"
764;472;357
765;473;182
766;474;358
767;475;40
768;476;41
769;477;340
770;477;259
771;477;30
772;478;178
773;478;177
774;479;289
775;479;234
776;479;53
777;480;128
778;480;359
779;481;48
780;482;130
781;483;55
782;484;52
783;484;83
784;485;235
785;485;361
786;486;255
787;488;285
788;488;101
789;489;190
790;489;362
791;490;194
792;491;61
793;492;190
794;492;191
795;493;171
796;493;1
797;494;364
798;495;134
799;495;66
800;495;77
801;495;365
802;496;13
803;496;45
804;496;29
805;497;136
806;497;137
807;498;166
808;498;76
809;498;366
810;498;251
811;499;33
812;499;100
813;499;77
814;499;101
815;500;104
816;500;367
817;501;54
818;501;196
819;501;368
820;502;252
821;503;243
822;504;118
823;504;208
824;505;163
825;506;128
826;506;355
827;506;147
828;506;124
829;506;369
830;507;370
831;507;371
832;508;194
833;508;136
834;509;372
835;510;108
836;511;134
837;511;99
838;511;82
839;511;77
840;512;373
841;513;81
842;513;368
843;514;75
844;515;343
845;515;96
846;515;77
847;516;75
848;516;360
849;516;323
850;516;374
851;517;123
853;518;1
854;519;171
855;519;108
856;520;75
857;520;33
858;520;77
859;522;376
860;522;195
861;522;377
862;523;146
863;524;99
864;524;148
865;524;3
866;525;134
867;525;101
868;526;252
869;527;96
870;527;337
871;527;126
872;528;141
873;528;378
874;529;379
875;530;297
876;531;4
877;531;66
878;532;66
879;532;55
880;532;71
881;533;46
882;533;107
883;534;122
884;534;263
885;535;104
886;535;326
887;536;380
888;537;368
889;538;266
890;538;107
891;540;1
892;542;33
893;543;246
894;543;382
895;544;187
896;545;171
897;545;40
898;546;175
899;546;52
900;547;327
901;548;99
902;548;70
903;548;101
904;549;33
905;549;96
906;551;111
907;551;219
908;552;383
909;553;77
910;553;384
911;554;385
912;554;386
913;555;163
914;555;120
915;556;273
916;556;15
917;556;387
918;557;22
919;558;385
920;559;334
921;560;15
922;560;385
923;561;255
924;562;161
925;562;40
926;562;388
927;563;6
928;563;389
929;566;15
930;567;388
931;568;390
932;568;391
933;569;85
934;569;357
935;570;134
936;570;194
937;570;136
938;571;105
939;571;86
940;572;40
941;573;167
942;573;392
943;574;393
944;574;394
945;575;140
946;575;199
947;576;41
948;576;140
949;576;66
950;576;395
951;577;142
952;579;140
953;579;396
954;580;13
955;580;30
956;580;397
957;581;105
958;581;140
959;582;163
960;582;140
961;582;395
962;583;33
963;583;56
964;584;40
965;584;398
966;585;108
967;586;61
968;586;301
969;587;386
970;587;41
971;587;13
972;587;66
973;587;71
974;588;13
975;588;31
976;590;108
977;590;399
978;591;285
979;591;400
980;592;71
981;592;5
982;593;386
983;593;314
984;594;306
985;594;77
986;594;401
987;594;101
988;596;9
989;596;286
990;597;402
991;598;9
992;598;217
993;599;70
994;599;99
995;599;77
996;599;101
997;600;154
998;602;7
999;602;403
1000;606;44
1001;607;48
1002;607;386
1003;609;135
1004;609;33
1005;609;285
1006;610;353
1007;610;404
1008;610;405
1009;611;74
1010;611;15
1011;612;29
1012;612;31
1013;612;406
1014;614;128
1015;615;186
1016;615;3
1017;616;322
1018;617;99
1019;617;66
1020;617;407
1021;620;372
1022;621;71
1023;621;5
1024;632;252
1025;633;124
1026;633;86
1027;634;252
1028;634;90
1029;635;408
1030;636;312
1031;636;61
1032;637;252
1033;638;252
1034;638;363
1035;639;252
1036;639;22
1037;640;252
1038;641;252
1039;642;324
1040;643;252
1041;644;171
1042;644;50
1043;645;4
1044;645;42
1045;646;252
1046;646;157
1047;647;98
1048;647;4
1050;648;3
1051;648;2
1052;648;148
1053;648;66
1054;649;409
1055;649;410
1056;650;4
1057;651;8
1058;651;281
1059;652;135
1060;653;245
1061;654;305
1062;654;216
1063;655;386
1064;656;94
1065;657;43
1066;658;13
1067;658;45
1068;658;91
1069;658;122
1070;660;299
1071;660;201
1072;661;41
1073;661;22
1074;661;66
1075;662;322
1076;662;105
1077;663;66
1078;664;112
1079;664;315
1080;665;366
1081;666;257
1082;666;246
1083;667;168
1084;668;388
1085;669;104
1086;669;368
1087;670;266
1088;670;154
1089;671;33
1090;671;101
1091;672;268
1092;673;411
1093;674;278
1094;674;412
1095;675;408
1096;675;413
1097;677;148
1098;677;281
1099;678;2
1100;678;342
1101;680;23
1102;680;246
1103;681;90
1104;681;108
1105;682;40
1106;682;264
1107;683;210
1108;683;61
1109;684;22
1110;684;237
1111;685;146
1112;685;414
1113;687;285
1114;687;91
1115;688;237
1116;698;22
1117;698;71
1118;712;185
1119;712;415
1120;714;340
1121;714;45
1122;714;29
1123;715;416
1124;716;358
1125;716;96
1126;720;33
1127;720;289
1128;722;417
1129;726;1
1130;731;5
1131;731;40
1132;737;182
1133;738;36
1134;738;419
1135;742;420
1136;826;1
