"IDReceta";"Receta";"Preparacion";"Porciones";"IDCategoria";"IDCocina";"IDComplejidad";"Sugerencia";"IDRendimiento"
502;"Fiambre de Pollo";"Encienda el horno, a temperatura media, para precalentarlo. En un bol, coloque la pechuga, el jamón y los hongos. En el otro bata los huevos y añada el cognac, salpimente a gusto, mezclando bien.  
 
Luego, vierta esta preparación en el bol que contiene la pechuga, mezclando bien hasta tener una preparación homogénea. Entonces, tapice la placa con la panceta ahumada, encima, sobre un extremo, forme un rollo con la preparación de pollo.  
 
Después, arróllelo sobre la panceta, cubriéndolo por completo y, luego, envuélvalo, cerrándolo bien, con el papel metálico. LLeve a hornear, sobre la placa unos 35 min y retire.  
 
Enseguida, coloque la tabla sobre el fiambre y encima un objeto que pese entre 1 a 1,5 kg., para prensarlo, dejándolo reposar en lugar fresco unas 8 hs.";12,00;3;9;3;"Puede prepararlo con anticipación y conservarlo refrigerado 3 días o en el freezer hasta 2 meses. Sirva cortado en tajadas, decorado con cerezas, al marrasquino o frescas, uvas o/y frutillas.Las salsas ideales para acompañarlo son Chutney de damascos secos, Chutney de Jengibre o de Chutney de Manzana.";2
503;"Salsa de Jengibre y Chocolate";"En la ollita, mezclar todos los ingredientes, excepto la esencia, llevar a fuego medio, revolviendo continuamente.  
 
Cuando comience a hervir, sin dejar de revolver, continuar la cocción por 5 min. Retirar y servir caliente.";4,00;9;9;2;"Sirva con Helado de Chocolate, Helado de Jengibre, Helado de Dulce de Leche o con Postre Helado de Chocolate, Postre Helado de Turrón.";2
504;"Champiñones a la Mostaza";"Con papel absorbente limpie los campiñones, corte los tallos y, después, páselos rápidamente por agua fría o, mejor aún, pase papel absorbente humedecido.   
 
Luego, córtelos en tajadas gruesas y colóquelas en el bol mediano. Después, en el bol pequeño, vierta el aceite, añada la mostaza, bata para que se emulsione y salpimente, a gusto.   
 
Vierta el aliño sobre los champiñones, mezcle suavemente con la cuchara, para que se impregnen y distribuya en la fuente.";4,00;10;3;2;"Puede preparar con anticipación y conservar en recipiente cerrado o en la fuente cubierto por film.";2
505;"Chutney de damascos secos";"Con la cuchara de madera, mezcle en una olla los damascos, el garam masala, el azúcar, el jengibre, las pasas, la sal, el vinagre y el agua.  
 
Encienda la hornalla, a fuego máximo y lleve la preparación a ebullición. Reduzca el fuego, a bajo, no mínimo, y déjelo hervir durante 30-35 min., revolviendo de vez en cuando, con la cuchara de madera.  
 
Cuando el chutney haya espesado lo suficiente, su consistencia se asemejará a la de una mermelada. Es en ese punto cuando debe retirarse del fuego y se deja enfriar.  
 
Frío se coloca en un frasco esterilizado, tapándolo herméticamente. Es conveniente conservarlo refrigerado.  
 
Para lograr un chutney picante, añada a la preparación 1 cucharadita de ají o guindilla en polvo, pimienta de cayena o ají molido.";450,00;9;18;3;"Los chutneys resultan deliciosos con los curries. En la India se sirven en pequeños bols acompañando los platos principal.";9
506;"Guiso de Borgoña";"En la olla grande, vierta agua hasta las 2/3 partes de su capacidad y coloque la panceta con el pechito de cerdo,. Lleve a fuego fuerte y deje hervir unos 3 min. para quitarles el exceso de sal.Luego retire, escurra y córtelos en trocitos. y colóquelos en el fondo de una olla de barro o de acero.  
 
Coloque las carnes en el fondo de la olla de barro o de acero. Después pique los ajos, el repollo, el apio; corte en rodajas las zanahorias, los nabos y el puerro. Agregue en la olla.  
 
Pinche la cebolla con el clavo de olor y añada dentro de la olla, cubra con agua y cocine con fuego suave, unos 20 a 25 min. o hasta que las verduras estén casi tiernas.  
 
Mientras tanto, corte las papas en rodajas delgadas y una vez cocidas las verduras, agregue el cubito de carne y las papas. Continúe la cocción, a fuego lento unos 25 mmin. o hasta que las papas estén casi deshechas para que le den un ligero espesor al caldo.  
 
Salpimente a gustom sirva en cazuelas individuales y espolvoreado con el perejil.";6,00;15;3;3;"Este plato se suele acompañar  con pan casero.";2
507;"Sorbete de Frambuesas";"En la ollita, verter el agua, añadir el azúcar y la cáscara/piel del limón. Llevar a fuerte para que hierva 5 min, retirar y colar sobre un bol. Deje enfriar, a temperatura ambiente.  
 
Luego que el almíbar/jarabe esté frío, deshaga las frambuesas, pasándolas por el tamiz, colocado sobre el mismo bol. Después, añada el licor, mezclando bien, vierta la preparación en el recipiente y lleve a congelar 3 hs. o hasta que haya solidificado.  
 
Retire, coloque cubitos en un bol, en el otro la preparación congelada y póngalo sobre los cubitos de hielo. Bata para desarmar los cristales de hielo, luego, añada la crema de leche, mezclando bien.  
 
Después, coloque la mezcla, nuevamente, en el recipiente y lleve a congelar por 2 hs., antes de servir.";4,00;22;3;2;"Sirva en copas bien frías, decore con frambuesas frescas, hojas de menta y Confit de Manzanas.";2
508;"Ensalada de Calamares al limón";"Vierta agua en la olla y lleve a fuego fuerte, para que hierva. Mientras tanto, corte los calamares en anillos delgados y cuézalos durante 2 min. o hasta que estén casi cocidos (no se pase en la cocción porque se vuelven duros).Escúrralos bien y póngalos en el bol.  
 
Para preparar el aderezo, ponga en el frasco todos los ingredientes, tape y agite para que se mezclen bien.  
 
Vierta el aderezo sobre los calamares y llévelos a la heladera, por lo menos 1 h. o hasta el momento de servir. Entonces, distribuya la ensalada en la fuente sobre las hojas de lechuga y por encima rocíe con el chile.";6,00;13;24;3;"Si quiere un plato más sustancioso acompañe con arroz blanco";2
509;"Planter";"Vierta los ingredientes en la coctelera, agíte unos segundos y sirva en la copa.";1,00;5;9;2;;7
510;"Confit de Manzanas";"Encienda el horno a temperatura media y precaliente durante 10 min. Pasado ese tiempo, unte con manteca la placa y distribuya las rodajas de manzana.  
 
Encima, rocíe con el cognac y espolvoreélas con el azucar. LLeve a hornear unos 30 min., o hasta que estén doradas y crocantes. Sirva calientes.";4,00;11;3;2;"Resultan deliciosas para acompañar Helado de Canela.";2
511;"Tabbouleh";"Ponga el trigo en un bol con el agua y déjelo en remojo durante 10 min.. Después, escúrralo en el colador y exprima el agua restante presionando el trigo contra el colador con el revés de una cuchara.  
 
Mientras tanto, coloque en el bol grande o ensaladera el trigo, el perejil picado, la menta picada, las cebollas de verdeo picadas, los tomates picados, el jugo de limón, el aceite y la pimienta y mézclelo bien. Lleve a refrigerar, durante por lo menos 1 h.  
 
Si desea una mejor presentación sirva el tabbouleh bien frío, en una fuente playa sobre una hoja de parra, repollo o lechuga.";6,00;13;21;3;"Este plato puede ser utilizado como entrada o guarnición y casi es imprescindible con acompañarlo con Pan Pita.";2
512;"Ponche Caliente de Vino";"En el hervidor, vierta el vino, añada la salvia, la cáscara de limón, el azúcar y la canela. Lleve calentar, a fuego fuerte, hasta que rompa hervor.  
 
Entonces, retire, añada el jugo/zumo de limón, revolviendo bien y sirva inmediatamente.";2,00;5;9;2;"Puede reemplazar la salvia por estragón y el limón por naranja/toronja.";7
513;"Sopa Crema de Champignones";"Con papel absorbente humedecido limpie los hongos, retire los tallitos, deseche una rodajita de la base, cortándola. Coloque la mitad de los sombreritos y tallos en un bol. Reserve.  
 
Corte el resto en finas láminas, colóquelas en una de las ollas, añada el caldo y la miga. Lleve a fuego mediano/alto hasta que hierva, entonces baje, a mímo y deje cocer por 1 h. En olla a presión la cocción es de 20 min.  
 
Mientras tanto, pique el resto de los champignones finamente, rocíelos con el limón, colóquelos en la otra olla, junto con la manteca y lleve a fuego bajo, tapada. Deje cocer 10 min.  
 
Cuando la otra preparación esté lista, tritúrela o pásela por el tamiz o prensapure, hasta convertirla en una crema. En el recipiente moje la harina con 1/3 taza de agua y dilúyala.  
 
Coloque la crema en la olla, a fuego medio/alto, cuando comience a hervir, baje a medio y añada la harina, batiendo, para evitar que se formen grumos. Una vez que se haya integrado bien agregue los hongos, que ha cocido con manteca.  
 
Mezcle bien, salpimente, a gusto, y deje cocer unos 5 min. Mientras tanto, vierta la crema de leche en la sopera y añada la sopa cuando esté lista. Sirva bien caliente.";6,00;19;3;2;"Si lo desee puede diluir la harina o fécula en jerez o vino blanco seco.";2
514;"Sopa de Queso";"Vierta el agua en la olla, añada los cubitos de caldo y lleve a fuego fuerte, revolviendo con la cuchara de madera, hasta que los cubitos se hayan disuelto.  
 
Entonces, baje el fuego a lento, añada el queso y siga mezclando hasta que se haya fundido, formando una crema. Retire y sirve las porciones espolvoreadas con perejil.";4,00;19;9;3;"Cuando retira la sopa del fuego, para que sea más suave añada una nuez de manteca/mantequilla y mezcle. También puede convertirla en un plato sofisticado si reemplaza 2 cucharadas de agua por 2 de jerez o cogñac y en el momento de servir añade 4 otras por porción.";2
515;"Sopa de cebollas";"Pele y corte las cebollas en rodajas finas. 
En la olla grande, a fuego medio, derrita las 2/3 partes de manteca o margarina, agregue las cebolla, condimente con pimienta y revuelva con la cuchara de madera. 
Tape la olla para continuar su cocción, a fuego a lento, hasta que las cebollas estén deshechas, pero que no lleguen a dorarse, tarda unos 7 a 10 min.  
 
En la otra olla prepare, el caldo disolviendo los cubitos en 1 y 1/2 l. de agua hirviendo y resérvelo caliente, cerca de la hornalla prendida. 
Mientras tanto, precaliente el horno a temperatura máxima y disuelva la fécula en el vino. 
Cuando las cebollas estén en su punto, sobre el fuego, bajo, añada la mezcla de fécula, revolviendo bien con la cuchara de madera, para que se lige con la cebolla y evitar también, que se formen grumos.  
 
Inmediatamente, vuelque el caldo de a poco sobre la preparación de las cebollas y revuelva constantemente, con la cuchara de madera, para ligar bien. 
Suba el fuego a medio y, cuando comience a hervir, bájelo a mínimo y continúe la cocción por unos 20 min. más.  
 
Paralelamente, corte el pan en cubitos (O rodajas enteras gruesas). Caliente el aceite en la sartén, a fuego medio y fríalos, revolviendo con la cuchara de madera, hasta para que se doren parejo, tardan más o menos 5 min. O untar conmanteca y dorar al grill.
Resérvelos.  
 
Vierta la sopa en cazuelas individuales, distribuya en la superficie de cada porción daditos de pan frito, queso rallado y rocíe con el resto de la manteca, previamente derretida. Lleve la preparación al horno precalentado, para que se gratine, tarda entre 5 a 7 min. y sírvala inmediatamente.";6,00;19;15;3;"Si desea, puede preparar la sopa con anticipación y calentarla un poco antes de preparar las cazuelas individuales para gratinarlas.";2
516;"Sopa de remolacha (Borsht)";"Corte las hojas de las remolachas, dejando de 5 a 7,5 cm de tallo. Limpie bien las remolachas con esponja en agua fría, para eliminar todo resto de tierra. Si las hojas son tiernas y jóvenes, se lavan bien y se cortan en dos, pues pueden utilizarse, en la sopa.  
 
Disponga las remolachas (las hojas también, si corresponde) y la cebolla picada en la olla, cubra con el caldo o el agua, y cuézalas, a fuego medio, hasta que el agua empiece a hervir. En ese momento baje el fuego, a lento, y continúe la cocción con la olla semitapada de 20 a 30 min., hasta que esté tierna la remolacha.  
 
Una vez cocidas las remolachas, retírelas, con la espumadera, y pélelas. Cuele el líquido de cocción, para apartar la cebolla y las hojas (si las utilizó) , reservando dos tazas de caldo. Luego procese las remolachas y la cebolla ( en su caso las hojas también) hasta que estén bien trituradas.  
 
Después, vierta el puré obtenido a la olla, previamente lavada, y agregue 1 1/2 taza del líquido de la cocción. Lleve la sopa a ebullición, sobre fuego medio. Condiméntela con sal, pimienta, jugo de limón y azúcar moreno, si es necesario agregue un poco más de líquido de cocción, hasta darle la consistencia deseada.  
 
Baje el fuego, a lento, y caliente la sopa unos 5 min, más. Sírvala con decorada con un poco de crema de leche, en el centro y con los dientes de un tenedor, esparza la crema formando un remolino en la superficie, luego rocíe con el de cebollín cortándolo directamente con tijeras sobre la sopa.";6,00;19;20;3;"Existen muchas versiones de borsht, y el único ingrediente común a todas ellas es la remolacha. Esta sopa se prepara en toda Europa del Este y se sirve fría o caliente. Puede hacerse con carne de vaca o buey o sin ella, con verduras o sin verduras, y servirse líquida o espesa.";2
517;"Cotolette/Costillas alla/a la Valdostana";"Corte la carne de las costillas hasta el hueso, formando un libro y, con la masa golpee la carne suavemente, para afinarla y emparejarla.  
 
Vierta el huevo, batido con agua, en el plato hondo, mezcle la harina con la sal y la pimienta en una fuente y coloque el pan rallado en la otra.   
 
Luego, distribuya una feta de jamón y otra de queso sobre un lado de cada costilla, emparejando para que no sobresalgan, cierre con la otra parte, tapando el relleno.  
 
Después, humedezca, con la yema de los dedos, con un poco de huevo los bordes de la carne y pase cada costilla primero por harina, cubriendo bien y apretando para que se pegue.  
 
Luego, pase cada una primero por huevo y, enseguida, por pan rallada, apretando bien para que quede bien cubierta. Una vez que todas estén rebozadas, derrita, a fuego medio, en la sartén la manteca.  
 
Fría, hasta que estén doradas de ambos lados, a fuego medio, las costillas. Retire, coloque sobre papel absorbente y sirva enseguida.";6,00;15;8;2;"Acompañe con Puré de papas, Puré Mediterráneo.";2
518;"Merluza a la Crema de Espárragos";"Rociar los filetes con jugo de limón y salpimentar. Untar con aceite o manteca la fuente y distribuir los filetes doblados o escalonados y esparcir encima la cebolla.  
 
Encender el horno, a fuego medio-alto, para precalentarlo. En el bol poner la sopa, verter la leche o el vino, revolviendo con el tenedor para lograr una pasta sin grumos y espárzala sobre el pescado.  
 
Cocine en el horno, durante 15 min. más o menos, retire y sirva.  
 
Se puede servir acompañado por papas hervidas, Puré de Papas, Papas Fritas, Papas Noisette, Arroz Amarillo o Arroz al Limón.";4,00;16;9;2;" La merluza se puede reemplazar por cualquier pescado de carne blanca. Se puede servir acompañado por papas hervidas, Puré de Papas, Papas Fritas, Papas Noisette, Arroz Amarillo o Arroz al Limón.";2
519;"Crema de Manzanas";"En la olla cueza las manzanas con el azúcar y el vino, a fuego medio/bajo, durante 15 a 20 min., o hasta que estén lo suficientemente cocidas para hacer un puré.  
 
Retírelas y próceselas a potencia máxima hasta que ésten hechas puré. Colóquelas en el bol, mézclelas con la crema y distribúyalas en las copas.  
 
Lleve a refrigerar, antes de servir, por lo menos 1 1/2 h.En el momento de serir decore cada porción espolvoreándo canela en la superficie y clavando un trocito de clavo de olor en el centro.";4,00;11;9;2;"Puede agregar a la decoración virutas de chocolate o chocolate en rama.";2
520;"Gazpacho";"Retire la corteza del pan y déjelo que se remoje, unos 10 min. en el bol con una taza de agua, a temperatura natural. Luego, mézclelo con los demás ingredientes (excepto el agua helada). Cúbralo con un film transparente o un paño limpio y reserve; tiene que reposar unos 20 min.  
 
Cuando se cumpla el tiempo de reposo triture la mezcla por tandas en la licuadora o procesadora, hasta que quede suave y pásela al bol. Agregue, a la mezcla, el agua helada para alivianarla. Cúbralo, nuevamente con un film transparente o un paño limpio y llévelo a la heladera durante por lo menos 2 h.  
 
Sírvalo en soperas individuales con cubitos de hielo. Distribuya los ingredientes para la guarnición en platos pequeños para que se sirvan a gusto con la sopa.";6,00;19;4;3;;2
521;"Pochoclo/Pororo";"En la olla, a fuego medio/alto, caliente el aceite. Eche el maíz, tape y cueza hasta que deje de oír el ruido del maíz golpeando contra la tapa.  
 
Entonces, retire y, si lo desea, espolvoree con el azúcar, mezcle bien. Lleve unos segundos más al fuego y sirva inmediatamente.";6,00;3;9;2;"Para darle sabor, junto con el azúcar puede agregar unos gotas de esencia de vainilla o frutilla.";2
522;"Bouillabaise";"Retire el caparazón a las 2/3 partes de los moluscos. En la olla caliente el aceite a fuego medio/alto. Simultáneamente, en la sartén caliente la manteca, a fuego medio/bajo.  
 
Añada, en la olla, el ajo, el tomate y el puerro. Baje el fuego a lento, de la hornalla en que está la sartén, y añada los trozos de pescado. Cocine hasta que el pescado esté cocido, dándolo vuelta en la mitad de la cocción.  
 
Retire del fuego la olla y coloque el pescado, junto con el fondo de cocción, en la olla. Añada el caldo, el pimentón y la pimienta. Forme un ramito con las hierbas y eche en la olla.  
 
Cuando hierva, baje el fuego a lento y deje cocer 5 min., añada, entonces, la carne de crustáceos. Espere que hierva nuevamente, siempre a fuego lento, y agregue el vino y los moluscos a los cuales le dejó el caparazón.  
 
Deje cocer otros 5 min. y añada los moluscos restantes, continúe la cocción 3 min. más. Apague el fuego, sale a gusto y sirve las porciones espolvoreadas con el perejil picado y el azafrán.";8,00;16;3;3;"Esta sopa se puede preparar con una sola clase de pescado, molusco o crustáceo, pero queda más sabrosa cuando se combinan más de una variedad de cada tipo de carne.";2
523;"Lomo a la Cacerola";"Coloque el lomo en la olla, espolvoree con sal y pimienta a gusto, bañe con el aceite, el jugo/zumo de limón, añada el laurel, los aros de cebolla y el perejil. Tape y deje marinar 1 h.  
 
Pasado ese tiempo, vierta el vino y lleve a fuego lento por 1 h. tapado, dando vuelta la carne en la mitad de la cocción.  
 
Luego, bañe con la crema de leche, tape nuevamente y continúe la cocción por 30 min., teniendo la precaución durante ese tiempo de bañar, carne con la salsa, unas 4 veces. Sirva bien caliente.";4,00;15;6;3;"Puede prepararlo con anticipación y calentarlo en horno microondas. Acompañe con Papas Hash Brown al horno, Papas Horneadas Aromáticas.";2
524;"Albóndigas de atún";"En la olla ponga agua a hervir, a fuego fuerte. Lave los rabanitos o el rábano, rállelos gruesos y déjelos 10 min. en el bol pequeño con agua, luego escúrralos. Cuando el agua hierva coloque un huevo a cocer durante 10 min.  
 
Mientras tanto, en un bol vacíe el atún, mezcle con el queso rallado, el huevo y agregue el pan rallado de a poco, hasta formar una masa moldeable y compacta (la cantidad indicada en la lista de ingredientes no es exacta, por lo tanto observe bien la consistencia de la masa). Luego forme unas bolitas pequeñas.  
 
Caliente aceite en la sartén y fría las albóndigas de atún hasta que estén doradas en todo su contorno. Retírelas con una espumadera y colóquelas sobre papel absorbente o servilletas de papel..  
 
Deshoje la planta de lechuga, y lávela muy bien.  
 
Para servir este plato, escurra las hojas de lechuga, colóquelas en una fuente, encima y en el centro distribuya las albóndigas de atún, alrededor el tomate en rodajas y, encima de éste los rabanitos o el rábano, decorado con hojas de perejil y con tajadas de huevo duro.";2,00;16;9;3;"Se pueden acompañar con mayonesa o keptchup";2
525;"Salsa de Ajo";"En la ollita vierta agua hasta los 2/3 de su capacidad y lleve a fuego fuerte. Mientras tanto corte las papas en cubos de 1 cm., más o menos y viértalas en la ollita. Cocine hasta que estén tiernas, deben hervir unos 8 min.  
 
Escurra y en el bol haga un puré, algo grumoso. Luego, batiendo con la cuchara de madera agregue el vinagre y el ajo y salpimente, a gusto. Después siempre batiendo con la cuchara de madera vierta de gota en gota el aceite, hasta lograr una salsa bien homogénea, espesa y fina, en unos 5 min.  
 
Se conserva refrigerada, en recipiente cerrado sólo 1 día.";4,00;9;15;3;"Es el acompañamiento ideal para el Pescado Frito a la Griega.También se puede utilizar para acompañar ave";2
526;"Albóndigas de Pollo";"En el bol, mezcle la carne con la salsa, la miel, el huevo y el pan rallado. Luego, humedézcase las manos y forme 24 bolitas.  
 
Coloque las semillas de sésamo en el plato y deslice las albóndigas, apretándolas suavemente para que las semillas se adhieran.  
 
Caliente el aceite en la sartén a fuego medio/alto, sin que llegue a humear, y cocine a fuego medio las albóndigas, hasta que estén doradas, rotándolas para que se cuezan parejo. Tardarán unos 7 a 10 min.  
 
A medida que estén hechas, retire y escurra sobre papel absorbente. Mantenga la fuente cerca de la hornalla encendida, hasta que todas estén cocidas. Sirva caliente o frías.";24,00;3;9;2;"También, especialmente para niños, puede hornearlas en la bandeja doradora del microondas o en el horno convencional, en este caso precaliente la asadera o placa.";3
527;"Papas Hash Brown al horno";"Encienda el horno a temperatura alta, para precalentarlo. Unte la sartén (mediana, para horno) o el molde con la manteca o el aceite e introdúzcala en el horno para calentar.  
 
Mientras tanto, en el bol, mezcle bien las papas con la cebolla y salpimente a gusto. Retire el recipiente del horno, distribuya la mezcla y, con una espátula, presiónela bien, si lo desea puede rocíar la superficie con un poco de aceite o manteca.  
 
Hornéala unos 20 min. o hasta que esté dorada. Retire y sirva.";4,00;13;13;2;"Puede servirla como entrada acompañada con Ensalada de Espinaca y Naranja o Mesclum o como guarnición de Albóndigas de atún o Albóndigas de Pollo.";2
528;"Manteca Maître D'Hôtel";"Coloque la manteca, en el bol, y los demás ingredientes. Trabaje batiendo hasta que tenga la consistencia de una pomada.  
 
Corte un trozo de papel, distribuya la manteca y enróllela, para darle forma de cilíndro. Lleve a refrigerar y en el momento de servirla, córtela en rodajas.";8,00;9;3;2;"Sirve para acompañar pescados, como Pescado Frito a la Griega o carnes y hortalizas. Si la prepara para utilizar en platos de pescado es preferible suprimir la pimienta.";2
529;"Choclos/Elotes a la Manteca";"Retire las hojas y barbas a los choclos y lávelos bien. Colóquelos en la olla, vierta el agua, la leche y una pizca de sal. Lleve a fuego fuerte, tapado 10 min.   
 
Retire, escurra, colóquelos en la fuente y sirva acompañados de manteca, sal y, si lo desea, pimienta.";4,00;10;13;2;"Puede servir con Manteca Maître D'Hôtel.";2
530;"Sopa Pavesa/Zuppa Pavese";"Encienda el horno a temperatura alta, unte las rebanadas de pan, de ambos lados, con manteca y distribúyalas en la asadera. Encima espolvoree queso rallado, reserve el resto de queso.  
 
LLeve a hornear hasta que estén doradas, tardarán unos 4 min. Mientras tanto, distribuya el caldo en las cazuelas, casque un huevo en el plato y suavemente, para que no se rompa, deslícelo dentro del caldo. Haga lo mismo con el resto de los huevos.  
 
Espolvoree el caldo con pimienta y lleve las cazuelas a calentar sobre fuego, alto, directo, hasta que la clara de los huevos haga coagulado, más o menos 3 min.   
 
Luego, coloque las rebanadas de pan en el caldo, al lado de cada huevo, espolvoree con el queso restante y sirva enseguida.";4,00;19;8;2;;2
531;"Postre de Limón";"Procese las vainillas para deshacerlas. En la ollita a fuego medio/bajo derrita la manteca y agréguela a las migas de vainilla y prócese hasta tener una masa.  
 
Luego, extienda la masa en el fondo del molde, apretándola bien con la yema de los dedos. Separe con mucho cuidado las yemas de las claras y bata unos 4 min. a potencia máxima, las yemas en la procesadora o batidora.  
 
Agregue a este batido el jugo y la leche condensada, mezclando bien para que se integre y viértala sobre la masa. Lleve el molde al freezer durante unos 60 min.  
 
Cuando se vaya a cumplir el tiempo de enfriamiento, precaliente el horno a temperatura máxima y en la procesador o batidora, a potancia máxima, bata las claras a punto nieve firme.  
 
Añada el azúcar y continúe batiendo hasta tener punto merengue, o sea que con la cuchara o espátula se puedan formar picos, que perduren.  
 
Retire la torta del freezer, con la manga o con la cuchara forme picos sobre la superficie. Lleve el molde al horno, para que el merengue se dore levemente, unos 3 a 4 min..  
 
Luego desmolde la torta y colóquela, con la base, en la fuente. Lleve nuevamente a enfriar hasta el momento de servir.";8,00;11;13;2;"Se puede completar la decoración con tiritas de cáscara limón.";2
532;"Chaudeau (Salsa de vino)";"En el bol, mezcle todos los ingredientes, deben quedar bien ligados.  
 
Vierta agua en la cacerola, la cantidad necesaria para que el fondo del bol no la toque. Lleve a fuego lento, y cocine batiendo siempre, hasta que la preparación se cueza, tarda entre 15 a 20 min.  
 
Sirva, caliente, inmediatamente.";8,00;9;14;2;"Esta salsa sirve para bañar torrijas, buñuelos, budines, flanes o postres helados.";2
533;"Crema Morena";"Vierta el dulce de leche, la leche y el licor en un bol. Coloque la mitad del chocolate y el café en la ollita, lleve a fuego lento, revolviendo con la cuchara de madera, para que se disuelva. Retire.  
 
Añada al bol y mezcle bien, hasta tener una preparación homogénea. En el otro bol bata la crema de leche, a potencia máxima, hasta que esté espesa, entonces agréguela a la preparación, junto con las nueces y las pasas escurridas.  
 
Mezcle bien, hasta tener una preparación homogénea. Lleve a refrigerar, por lo menos 1 h., antes de distribuir las porciones, para servir, en las compoteras y rociar las superficie con el coco, primero y luego con el resto de chocolate rallado.";6,00;11;5;2;"Si no le agradan las pasas de uva las puede reemplazar por dos rodajas de ananás en almíbar, escurridas, cortadas en cubitos o de duraznos al natural.";2
534;"Soufflé de Papas";"Casque los huevos y separe las claras de las yemas. En un bol coloque el puré la cucharada de manteca, leche, yemas, sal, pimienta, nuez moscada y las 3/4 partes de la taza de queso. Mezcle muy bien. Encienda el horno a temperatura media, para precalentar.  
 
Unte el molde con la manteca restante. Luego, en el otro bol bata las claras, con una pizca de sal, unos 5 min. a potencia máxima o hasta lograr un punto nieve firme. Después, incorpórelas a puré, mezclando en forma envolvente, de abajo hacia arriba, suavemente con la espátula.  
 
Vierta dentro de molde enmantecado, espolvoree el queso restante y lleve a cocinar a temperatura media, unos 25 min.. Deje unos 4 min. en el horno apagado, retire y sirva.";6,00;10;9;3;"Puede acompañar con una ensalada verde.";2
535;"Chow Mey";"Caliente, en el wok a fuego medio/alto, abundante aceite y fría los fideos, hasta que comiencen a dorarse. Retire y escurra sobre papel absorbente. Luego, en el wok o sartén profunda vierta el caldo y lleve, a fuego alto, a hervir.  
 
Entonces, añada la carne, el pimiento, las chauchas, los brotes y los choclitos y deje cocer, tapada, hasta que las chauchas estén tiernas pero aún crujientes, unos 7 a 10 min., a fuego fuerte.  
 
Añada la fécula diluida en el jerez, la manteca de maní, el aceite de sésamo, mezclando bien. Enseguida incorpore los fideos y deje cocer a fuego medio unos 3 min. o hasta que espese. Sirva inmediatamente.";4,00;17;7;2;;2
536;"Ensalada Tropical";"En el bol, mezcle la zanahoria, el coco, las aceitunas y la naranja. Luego, en el bol prepare el aderezo, mezclando todos los ingredientes y sale a gusto.  
 
Bañe con el aderezo la ensalada y mezcle bien para que se impregne. Lleve a refrigerar, por lo menos 1 h. antes de servir.";6,00;13;9;2;"Es ideal para acompañar todo tipo de carnes frías.Sírvala sobre un lecho de hojas de lechuga.";2
537;"Salsa Madera/Madeira";"En la olla, coloque la manteca/mantequilla y la grasa de cerdo/manteca, añada la harina y lleve a fuego lento, revolviendo continuamente, dejando cocer 10 min.  
 
Entonces, añada el caldo, suba a fuego medio, y siga revolviendo hasta que hierva. En ese momento, mezclando bien, añada el extracto de carne y el vino.  
 
Luego, baje la llama a lenta, y deje cocer 2 hs. más. Retire, deje enfriar y deseche, con la espumadera la grasa que se forma en la superficie.  
 
Después, cuele sobre el recipiente y guarde refrigerada.";0,50;9;9;3;"Con esta salsa se puede bañar carnes asadas o salteadas.";5
538;"Alfajores tipo Mar del Plata";"Encienda el horno a temperatura media, para precalentarlo. Distribuya la harina en la placa mediana y lleve al horno, abierto, para que se tueste, removiéndola con la cuchara de madera, hasta que tome color ligeramente dorado.  
 
Entonces, retire y mézclela con el chocolate, finamente rallado y el bicabonato de sodio. Luego, colóquela sobre la mesada, forme una corona y en el centro eche la manteca derretida, el azúcar impalpable, la vainilla y las yemas.  
 
Mezcle, desde los bordes al centro, incorporando la harina y los otros ingredientes secos. Después, amase, trabajando rápidamente hasta tener una pasta lisa. Entonces, espolvoree con un poco de harina la mesada y el palo de amasar.  
 
Encienda, nuevamente el horno a temperatura media, para precalentarlo, y unte con manteca y espolvoree con harina la placa grande. Extienda la masa, no muy fina, debe quedar del grosor de 6 mm., más o menos. Corte círculos en el cortapasta y cuando haya terminado una los restos, extiéndolos nuevamente y corte más círculos.  
 
Distribúyalos en la placa, cuidando que no se toquen entre sí, y lleve a hornear, en el estante medio, unos 7 a 10 min. o hasta que estén dorados. Entonces, retire y deje enfriar.  
 
Luego, distribuya en el centro de la mitad de las una cucharada de dulce de leche y coloque encima otra tapa, apretando ligeramente para el dulce se extienda. Después, empareje los bordes con el cuchillo, untándolos con el dulce.  
 
En la ollita coloque el chocolate cobertura rallado, vierta agua hasta 1/3 de su capacidad en la otra olla y lleve a fuego medio. Cuando esté caliente, sin hervir, coloque la ollita en baño María y baje el fuego, a mínimo.  
 
Revuelva, con la cuchara de madera, continuamente hasta que el chocolate se haya derretido y esté cremoso. Retire, siga mezclando unos segundos.   
 
Extienda el chocolate sobre una tapa de los alfajores y vaya colocándolos sobre la rejilla, entonces, unte los bordes con chocolate. Si el chocolate se enfría colóquelo nuevamente en baño María.  
 
LLeve unos minutos a enfriar, retire y repita el proceso en la tapa sin cubrir.";10,00;14;6;4;"Si los quiere blancos puede bañarlos con chocolate cobertura blanco o con el típico Baño Glaceado.";2
